Serial Number,PHASE_3_STARTUP_OFFSET value (decimal): ,use_3 average at float: ,use_3 average at detected: ,PHASE_3_STARTUP_THRESHOLD: ,Calculated PHASE_3_STARTUP_CONFIG: 
PB967200001W,371,82436,98644,2829,0x1730b0d
PB967200003A,449,36843,51215,1375,0x1c1055f
PB967200002C,373,94063,109959,3187,0x1750c73
PB9672000024,374,23721,38499,972,0x17603cc
PB967200001M,374,38072,57957,1500,0x17605dc
PB967200002F,371,56617,71211,1997,0x17307cd
PB967200001F,372,61955,73580,2117,0x1740845
PB9672000028,448,51174,63733,1795,0x1c00703
PB967200002B,369,81456,96419,2779,0x1710adb
PB9672000031,371,40274,53144,1459,0x17305b3
PB967200002Y,374,78144,95006,2705,0x1760a91
PB967200000X,373,56553,70909,1991,0x17507c7
PB967200001N,448,37177,51448,1384,0x1c00568
PB967200001Q,368,69269,85165,2413,0x170096d
PB967200002J,448,54390,67219,1900,0x1c0076c
PB967200002D,449,49276,59897,1705,0x1c106a9
PB9672000027,375,42338,55427,1527,0x17705f7
PB967200000K,369,42239,56584,1544,0x1710608
PB9672000019,448,66800,83248,2344,0x1c00928
PB967200001D,371,56805,71311,2001,0x17307d1
PB9672000032,373,16325,31754,751,0x17502ef
PB967200001K,372,38552,53706,1441,0x17405a1
PB967200002K,373,34946,49958,1326,0x175052e
PB967200001R,368,24024,38795,981,0x17003d5
PB967200001J,367,42151,56558,1542,0x16f0606
PA967200000U,367,66122,79258,2271,0x16f08df
PB9672000020,367,63070,77677,2199,0x16f0897
PB967200001X,374,82363,94667,2766,0x1760ace
PB967200002G,373,74334,86062,2506,0x17509ca
PB967200001V,373,76431,89444,2591,0x1750a1f
PB9672000035,374,71628,85381,2453,0x1760995
PB967200002P,450,20153,36515,885,0x1c20375
PB9672000022,373,99047,114962,3343,0x1750d0f
PB9672000021,373,32171,48962,1267,0x17504f3
PB9672000026+,1142,204174,207126,6426,0x476191a
PB967200001C,374,26713,39599,1036,0x176040c
